OCCUR_DATE,Incident Count,,Occur_Date,Incident Count,,New Years,,Memorial Day,,Thanksgiving,,Black Friday,,Christmas ,,,,,,,
07-28-2009,1,,,,,,,,,,,,,,,,,,,,
07-28-2009,1,,,,,,,,,,,,,,,,,,,,
07-28-2009,1,,,,,,,,,,,,,,,,,,,,
07-28-2009,1,,,,,,,,,,,,,,,,,,,,
07-28-2009,1,,,,,,,,,,,,,,,,,,,,
07-28-2009,1,,,,,,,,,,,,,,,,,,,,
07-28-2009,1,,,,,,,,,,,,,,,,,,,,
07-28-2009,1,,,,,,,,,,,,,,,,,,,,
07-28-2008,1,,,,,,,,,,,,,,,,,,,,
07-28-2008,1,,,,,,,,,,,,,,,,,,,,
07-28-2008,1,,,,,,,,,,,,,,,,,,,,
07-28-2008,1,,,,,,,,,,,,,,,,,,,,
07-28-2008,1,,,,,,,,,,,,,,,,,,,,
07-28-2008,1,,,,,,,,,,,,,,,,,,,,
07-28-2007,1,,,,,,,,,,,,,,,,,,,,
07-28-2007,1,,,,,,,,,,,,,,,,,,,,
07-28-2007,1,,,,,,,,,,,,,,,,,,,,
07-28-2007,1,,,,,,,,,,,,,,,,,,,,
07-28-2007,1,,,,,,,,,,,,,,,,,,,,
07-28-2007,1,,,,,,,,,,,,,,,,,,,,
07-28-2007,1,,,,,,,,,,,,,,,,,,,,
07-28-2007,1,,,,,,,,,,,,,,,,,,,,
07-28-2007,1,,,,,,,,,,,,,,,,,,,,
07-28-2007,1,,,,,,,,,,,,,,,,,,,,
07-28-2006,1,,,,,,,,,,,,,,,,,,,,
07-28-2006,1,,,,,,,,,,,,,,,,,,,,
07-28-2006,1,,,,,,,,,,,,,,,,,,,,
07-28-2006,1,,,,,,,,,,,,,,,,,,,,
07-27-2017,1,,,,,,,,,,,,,,,,,,,,
07-27-2017,1,,,,,,,,,,,,,,,,,,,,
07-27-2016,1,,,,,,,,,,,,,,,,,,,,
07-27-2015,1,,,,,,,,,,,,,,,,,,,,
07-27-2014,1,,,,,,,,,,,,,,,,,,,,
07-27-2014,1,,,,,,,,,,,,,,,,,,,,
07-27-2014,1,,,,,,,,,,,,,,,,,,,,
07-27-2014,1,,,,,,,,,,,,,,,,,,,,
07-27-2014,1,,,,,,,,,,,,,,,,,,,,
07-27-2014,1,,,,,,,,,,,,,,,,,,,,
07-27-2014,1,,,,,,,,,,,,,,,,,,,,
07-27-2014,1,,,,,,,,,,,,,,,,,,,,
07-27-2014,1,,,,,,,,,,,,,,,,,,,,
07-27-2014,1,,,,,,,,,,,,,,,,,,,,
07-27-2013,1,,,,,,,,,,,,,,,,,,,,
07-27-2013,1,,,,,,,,,,,,,,,,,,,,
07-27-2013,1,,,,,,,,,,,,,,,,,,,,
07-27-2013,1,,,,,,,,,,,,,,,,,,,,
07-27-2012,1,,,,,,,,,,,,,,,,,,,,
07-27-2012,1,,,,,,,,,,,,,,,,,,,,
07-27-2011,1,,,,,,,,,,,,,,,,,,,,
07-27-2011,1,,,,,,,,,,,,,,,,,,,,
07-27-2011,1,,,,,,,,,,,,,,,,,,,,
07-27-2011,1,,,,,,,,,,,,,,,,,,,,
07-27-2011,1,,,,,,,,,,,,,,,,,,,,
07-27-2011,1,,,,,,,,,,,,,,,,,,,,
07-27-2011,1,,,,,,,,,,,,,,,,,,,,
07-27-2010,1,,,,,,,,,,,,,,,,,,,,
07-27-2010,1,,,,,,,,,,,,,,,,,,,,
07-27-2009,1,,,,,,,,,,,,,,,,,,,,
07-27-2009,1,,,,,,,,,,,,,,,,,,,,
07-27-2009,1,,,,,,,,,,,,,,,,,,,,
07-27-2009,1,,,,,,,,,,,,,,,,,,,,
07-27-2008,1,,,,,,,,,,,,,,,,,,,,
07-27-2008,1,,,,,,,,,,,,,,,,,,,,
07-27-2008,1,,,,,,,,,,,,,,,,,,,,
